13075572, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
13075572, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
13185000, Heave Mean: -0.046, Heave Variance: 0.000, Elements: -0.046 -0.046 -0.046 -0.045 -0.045 -0.045
13275559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
13275559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
13385000, Heave Mean: -0.045, Heave Variance: 0.000, Elements: -0.046 -0.046 -0.045 -0.045 -0.045 -0.045
13475559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
13475559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
13585000, Heave Mean: -0.045, Heave Variance: 0.000, Elements: -0.046 -0.045 -0.045 -0.045 -0.045 -0.045
13675559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
13675559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
13785000, Heave Mean: -0.045, Heave Variance: 0.000, Elements: -0.045 -0.045 -0.045 -0.045 -0.045 -0.045
13875559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
13875559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
13985000, Heave Mean: -0.045, Heave Variance: 0.000, Elements: -0.045 -0.045 -0.045 -0.045 -0.045 -0.044
14075572, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
14075572, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
14185000, Heave Mean: -0.045, Heave Variance: 0.000, Elements: -0.045 -0.045 -0.045 -0.045 -0.044 -0.044
14275559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
14275559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
14385000, Heave Mean: -0.044, Heave Variance: 0.000, Elements: -0.045 -0.045 -0.045 -0.044 -0.044 -0.044
14475559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
14475559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
14585000, Heave Mean: -0.044, Heave Variance: 0.000, Elements: -0.045 -0.045 -0.044 -0.044 -0.044 -0.044
14675558, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
14675558, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
14785000, Heave Mean: -0.044, Heave Variance: 0.000, Elements: -0.045 -0.044 -0.044 -0.044 -0.044 -0.043
14875558, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
14875558, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
14985000, Heave Mean: -0.044, Heave Variance: 0.000, Elements: -0.044 -0.044 -0.044 -0.044 -0.043 -0.043
15075574, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
15075574, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
15185000, Heave Mean: -0.043, Heave Variance: 0.000, Elements: -0.044 -0.044 -0.044 -0.043 -0.043 -0.042
